#1,#2,#3,#4,#5,#6,MAX,SD
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,3,0,0,0,0,3,1.211060142
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,2,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
3,1,0,0,0,0,3,1.211060142
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
2,2,0,0,0,0,2,1.032795559
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,3,0,0,0,0,3,1.211060142
3,1,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
3,1,0,0,0,0,3,1.211060142
3,1,0,0,0,0,3,1.211060142
2,2,0,0,0,0,2,1.032795559
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
3,1,0,0,0,0,3,1.211060142
2,2,0,0,0,0,2,1.032795559
2,2,0,0,0,0,2,1.032795559
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
3,1,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
3,1,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
2,2,0,0,0,0,2,1.032795559
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,3,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,3,0,0,0,0,3,1.211060142
1,3,0,0,0,0,3,1.211060142
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,3,0,0,0,0,3,1.211060142
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,3,0,0,0,0,3,1.211060142
2,2,0,0,0,0,2,1.032795559
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
3,1,0,0,0,0,3,1.211060142
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
2,2,0,0,0,0,2,1.032795559
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
2,1,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
3,1,0,0,0,0,3,1.211060142
2,2,0,0,0,0,2,1.032795559
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,3,0,0,0,0,3,1.211060142
2,2,0,0,0,0,2,1.032795559
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
3,1,0,0,0,0,3,1.211060142
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
2,1,1,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
3,1,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
3,1,0,0,0,0,3,1.211060142
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
1,3,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
1,1,2,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
2,1,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
1,1,2,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
4,0,0,0,0,0,4,1.632993162
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
3,1,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
4,0,0,0,0,0,4,1.632993162
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,3,0,0,0,0,3,1.211060142
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
3,1,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
3,1,0,0,0,0,3,1.211060142
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,3,0,0,0,0,3,1.211060142
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
3,1,0,0,0,0,3,1.211060142
1,1,2,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
2,1,1,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,3,0,0,0,0,3,1.211060142
3,1,0,0,0,0,3,1.211060142
1,1,2,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
2,2,0,0,0,0,2,1.032795559
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
3,1,0,0,0,0,3,1.211060142
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,2,0,0,0,0,2,1.032795559
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,2,1,0,0,0,2,0.816496581
3,1,0,0,0,0,3,1.211060142
2,1,1,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,3,0,0,0,0,3,1.211060142
1,1,1,1,0,0,1,0.516397779
2,1,1,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
2,1,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,2,0,0,0,2,0.816496581
1,2,1,0,0,0,2,0.816496581
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
1,1,1,1,0,0,1,0.516397779
